Ranking,Institution,teaching,nss,spend_per_student,ratio,prospects,value_added,entry,feedback
72,Brunel,55.2,83,4.4,15.8,71,5.4,131,74
72,Chichester,55.2,88,3.1,15.6,59,6.1,121,73
75,Bradford,54.9,82,4.5,16,78,6,127,70
76,Manchester Met,54.8,85,3.7,15.6,66,4.2,133,75
77,Chester,54.7,84,5,13.5,64,4.2,115,73
78,Plymouth,54.5,85,5.2,16.1,70,5.9,124,73
79,Teesside,54.2,84,5.4,16.6,67,4.9,119,76
80,Liverpool John Moores,54.1,84,4,17.5,67,6,136,75
81,Aberystwyth,53.8,93,4.6,16.4,68,3.8,107,79
81,Kingston,53.8,80,6.2,18.8,64,5.2,116,71
83,Edinburgh Napier,53.1,82,4,20.3,73,6.6,148,71
84,Hull,52.9,86,4.7,16.5,73,4.5,126,71
85,Sheffield Hallam,52.7,84,5,16.6,69,6.5,120,72
86,Bolton,52.2,82,3.4,15.1,59,4.6,109,77
87,Cardiff Met,52,78,5,17.2,71,5.1,116,66
88,Worcester,51.7,85,3.9,16.4,68,5.2,118,76
89,Glasgow Caledonian,51.4,85,3.7,19.4,71,5.5,166,67
90,Winchester,51.2,86,2.6,15.9,61,6.3,,74
91,Brighton,51,80,3.7,17.4,71,5.5,118,70
92,London South Bank,50.6,82,4.3,17,76,5.7,106,72
93,Roehampton,50.5,84,5.8,14.3,64,4.7,108,72
94,De Montfort,50.4,85,3.8,19.1,76,4.8,110,75
95,Greenwich,49.7,82,3.6,17.8,65,5.8,131,72
96,Ulster,49.6,88,3.4,18.8,65,5.6,126,76
97,Bath Spa,49.2,84,4.4,18.7,61,5.4,118,77
98,Bedfordshire,48.9,84,5.8,16.9,62,6.6,93,76
99,Salford,48.6,82,3.9,16.6,61,5.7,126,76
100,Queen Margaret,48.1,89,2.9,18.1,58,6.3,137,71
101,Birmingham City,48,82,5,18.7,69,5.4,120,75
102,Hertfordshire,47.8,83,4.1,17.6,78,4.2,118,70
103,Southampton Solent,47.4,80,4,15.5,57,5.6,101,70
104,West of Scotland,47,86,3.5,20.2,70,5.9,143,75
105,Northampton,46.5,85,4.5,18.5,57,6.5,106,75
105,"St Mary's, Twickenham",46.5,85,3.2,17.9,69,3.7,122,68
107,East London,46.4,81,4.4,16.8,52,5.5,114,75
108,Westminster,46.2,81,4.3,17.9,57,6.7,118,69
109,Canterbury Christ Church,45.9,83,4,16.3,61,5.9,112,74
110,Newman,44.5,87,3.6,16.1,68,4.4,117,76
111,Leeds Trinity,44.4,80,3.4,21.4,70,7.1,108,74
112,Trinity Saint David,43.7,80,4,15.4,46,5,94,77
113,Birkbeck,42.4,88,3.2,16,73,2.9,104,73
114,Leeds Beckett,41.1,85,3.7,19.9,66,4.3,113,72
115,Suffolk,39.2,79,,19.2,61,2.5,113,73
116,South Wales,38.4,81,3.4,17.1,56,4.1,113,72
117,London Met,37.2,80,2.5,18.1,59,3.4,104,72
118,Cumbria,37.1,80,2.5,17.8,67,3.2,117,75
119,York St John,36.6,81,3.9,17.4,62,2.7,119,72
120,Bucks New University,32,77,6.7,17.5,61,3.5,108,73
121,Glyndŵr,30.4,78,2.6,20.9,60,3.6,96,75
